ts,equity,unrealized,realized,drawdown
1770181499999,5000.0,0.0,0.0,0.0
1770182399999,5000.0,0.0,0.0,0.0
1770247199999,5000.0,0.0,0.0,0.0
1770247799999,5000.0,0.0,0.0,0.0
1770250499999,5000.0,0.0,0.0,0.0
1770256799999,5000.0,0.0,0.0,0.0
1770259499999,5000.0,0.0,0.0,0.0
1770259799999,5000.0,0.0,0.0,0.0
1770260099999,5000.0,0.0,0.0,0.0
1770260399999,5000.0,0.0,0.0,0.0
1770260699999,5000.0,0.0,0.0,0.0
1770260999999,5000.0,0.0,0.0,0.0
1770261299999,5000.0,0.0,0.0,0.0
1770261599999,5000.0,0.0,0.0,0.0
1770261899999,5000.0,0.0,0.0,0.0
1770262199999,5000.0,0.0,0.0,0.0
1770262499999,5000.0,0.0,0.0,0.0
1770262799999,5000.0,0.0,0.0,0.0
1770263099999,5000.0,0.0,0.0,0.0
1770263399999,5000.0,0.0,0.0,0.0
1770263699999,5000.0,0.0,0.0,0.0
1770263999999,5000.0,0.0,0.0,0.0
1770264299999,5000.0,0.0,0.0,0.0
1770264599999,5000.0,0.0,0.0,0.0
1770264899999,5000.0,0.0,0.0,0.0
1770265199999,5000.0,0.0,0.0,0.0
1770265499999,5000.0,0.0,0.0,0.0
1770265799999,5000.0,0.0,0.0,0.0
1770266099999,5000.0,0.0,0.0,0.0
1770266399999,5000.0,0.0,0.0,0.0
1770266699999,5000.0,0.0,0.0,0.0
1770266999999,5000.0,0.0,0.0,0.0
1770267299999,5000.0,0.0,0.0,0.0
1770267599999,5000.0,0.0,0.0,0.0
1770267899999,5000.0,0.0,0.0,0.0
1770268199999,5000.0,0.0,0.0,0.0
1770268499999,5000.0,0.0,0.0,0.0
1770268799999,5000.0,-4.67185761957748,0.0,0.0
1770269099999,4984.167593622544,0.0,-15.832406377456586,-15.83240637745621
1770269399999,4984.167593622544,0.0,-15.832406377456586,-15.83240637745621
1770310499999,5000.0,0.0,0.0,0.0
1770310799999,5000.0,0.0,0.0,0.0
1770311099999,5000.0,0.0,0.0,0.0
1770311399999,5000.0,0.0,0.0,0.0
1770311699999,5000.0,0.0,0.0,0.0
1770311999999,5000.0,0.0,0.0,0.0
1770312299999,5000.0,0.0,0.0,0.0
1770312599999,5000.0,0.0,0.0,0.0
1770312899999,5000.0,0.0,0.0,0.0
1770313199999,5000.0,0.0,0.0,0.0
1770313499999,5000.0,0.0,0.0,0.0
1770313799999,5000.0,0.0,0.0,0.0
1770314099999,5000.0,0.0,0.0,0.0
1770314399999,5000.0,0.0,0.0,0.0
1770314699999,5000.0,0.0,0.0,0.0
1770314999999,5000.0,0.0,0.0,0.0
1770315299999,5000.0,0.0,0.0,0.0
1770315599999,5000.0,0.0,0.0,0.0
1770315899999,5000.0,0.0,0.0,0.0
1770316199999,5000.0,0.0,0.0,0.0
1770316499999,5000.0,0.0,0.0,0.0
1770316799999,5000.0,0.0,0.0,0.0
1770317099999,5000.0,0.0,0.0,0.0
1770317399999,5000.0,0.0,0.0,0.0
1770317699999,5000.0,0.0,0.0,0.0
1770317999999,5000.0,0.0,0.0,0.0
1770318299999,5000.0,0.0,0.0,0.0
1770318599999,5000.0,0.0,0.0,0.0
1770318899999,5000.0,0.0,0.0,0.0
1770319199999,5000.0,0.0,0.0,0.0
1770319499999,5000.0,0.0,0.0,0.0
1770319799999,5000.0,0.0,0.0,0.0
1770320099999,5000.0,0.0,0.0,0.0
1770320399999,5000.0,0.0,0.0,0.0
1770320699999,5000.0,0.0,0.0,0.0
1770320999999,5000.0,0.0,0.0,0.0
1770321299999,5000.0,0.0,0.0,0.0
1770321599999,5000.0,0.0,0.0,0.0
1770321899999,5000.0,0.0,0.0,0.0
1770322199999,5000.0,0.0,0.0,0.0
1770322499999,5000.0,0.0,0.0,0.0
1770322799999,5000.0,0.0,0.0,0.0
1770323099999,5000.0,0.0,0.0,0.0
1770323399999,5000.0,0.0,0.0,0.0
1770323699999,5000.0,0.0,0.0,0.0
1770323999999,5000.0,0.0,0.0,0.0
1770324299999,5000.0,0.0,0.0,0.0
1770324599999,5000.0,0.0,0.0,0.0
1770324899999,5000.0,0.0,0.0,0.0
1770325199999,5000.0,0.0,0.0,0.0
1770325499999,5000.0,0.0,0.0,0.0
1770325799999,5000.0,0.0,0.0,0.0
1770326099999,5000.0,0.0,0.0,0.0
1770326399999,5000.0,0.0,0.0,0.0
1770326699999,5000.0,0.0,0.0,0.0
1770326999999,5000.0,0.0,0.0,0.0
1770327299999,5000.0,0.0,0.0,0.0
1770327599999,5000.0,0.0,0.0,0.0
1770327899999,5000.0,0.0,0.0,0.0
1770328199999,5000.0,0.0,0.0,0.0
1770328499999,5000.0,0.0,0.0,0.0
1770328799999,5000.0,0.0,0.0,0.0
1770329099999,5000.0,0.0,0.0,0.0
1770329399999,5000.0,0.0,0.0,0.0
1770329699999,5000.0,0.0,0.0,0.0
1770329999999,5000.0,0.0,0.0,0.0
1770330299999,5000.0,0.0,0.0,0.0
1770330599999,5000.0,0.0,0.0,0.0
1770330899999,5000.0,0.0,0.0,0.0
1770331199999,5000.0,0.0,0.0,0.0
1770331499999,5000.0,0.0,0.0,0.0
1770331799999,5000.0,0.0,0.0,0.0
1770332099999,5000.0,0.6247211066488026,0.0,0.0
1770332399999,5000.0,-2.264614011602007,0.0,0.0
1770332699999,5000.0,6.950022311468082,0.0,0.0
1770332999999,5000.0,9.058456046407805,0.0,0.0
1770333299999,5000.0,7.6528335564479155,0.0,0.0
1770333599999,5000.0,3.592146363230643,0.0,0.0
1770333899999,5000.0,-4.997768853190532,0.0,0.0
1770334199999,5000.0,-0.7028112449799446,0.0,0.0
1770384299999,5000.0,0.0,0.0,0.0
1770384599999,5000.0,0.0,0.0,0.0
1770384899999,5000.0,0.0,0.0,0.0
1770385199999,5000.0,0.0,0.0,0.0
1770391499999,5000.0,0.0,0.0,0.0
1770396599999,5000.0,0.0,0.0,0.0
1770396899999,5000.0,0.0,0.0,0.0
1770397199999,5000.0,0.0,0.0,0.0
1770397499999,5000.0,0.0,0.0,0.0
1770397799999,5000.0,0.0,0.0,0.0
1770398099999,5000.0,0.0,0.0,0.0
1770398399999,5000.0,0.0,0.0,0.0
1770398699999,5000.0,0.0,0.0,0.0
1770398999999,5000.0,0.0,0.0,0.0
1770399299999,5000.0,0.0,0.0,0.0
1770399599999,5000.0,0.0,0.0,0.0
1770399899999,5000.0,0.0,0.0,0.0
1770400199999,5000.0,0.0,0.0,0.0
1770421799999,5000.0,0.0,0.0,0.0
