"symbol","makerFeeRate","takerFeeRate","apiAllowed","amount24","lastPrice","baseCoin","quoteCoin"
"SOL_USDT","0","0","False","1056019797","82,5","SOL","USDT"
"XRP_USDT","0","0","False","568916434,3333","1,3979","XRP","USDT"
"XAUT_USDT","0","0","False","549157179,9565","4998","XAUT","USDT"
"SILVER_USDT","0","0","False","222371551,6966","80,68","SILVER","USDT"
"PIPPIN_USDT","0","0","False","157795225,0961","0,38311","PIPPIN","USDT"
"BCH_USDT","0","0","False","129634819,7386","519,46","BCH","USDT"
"ASTER_USDT","0","0","False","113918501,104","0,648","ASTER","USDT"
"RIVER_USDT","0","0","False","75112915,4115","17,05","RIVER","USDT"
"ENA_USDT","0","0","False","71851003,14","0,1144","ENA","USDT"
"DOGE_USDT","0","0","False","68712563,939","0,09274","DOGE","USDT"
"UNI_USDT","0","0","False","33972543,7767","3,342","UNI","USDT"
"XMR_USDT","0","0","False","23763687,0431","334,8","XMR","USDT"
"CHZ_USDT","0","0","False","22005798,64055","0,03969","CHZ","USDT"
"BNB_USDT","0","0","False","18939832,706","616,6","BNB","USDT"
"SOL_USDC","0","0","False","18596866,209","82,48","SOL","USDC"
"XRP_USD","0","0","False","15567080,1229304","1,3974","XRP","USD"
"BNB_USDC","0","0","False","9866251,3126","617,29","BNB","USDC"
"XRP_USDC","0","0","False","7539810,1764","1,3974","XRP","USDC"
"DOGE_USDC","0","0","False","7518746,0189","0,09268","DOGE","USDC"
"FHE_USDT","0","0","False","7202946,8047","0,13149","FHE","USDT"
"BEAT_USDT","0","0","False","6326142,4131","0,2357","BEAT","USDT"
"NIGHT_USDT","0","0","False","5539761,354","0,04809","NIGHT","USDT"
"POL_USDT","0","0","False","3996335,7029","0,09118","POL","USDT"
"JASMY_USDT","0","0","False","3975773,93977","0,005428","JASMY","USDT"
"ETHFI_USDT","0","0","False","3842350,9919","0,4322","ETHFI","USDT"
"TESLA_USDT","0","0","False","3376849,7889","425,73","TESLA","USDT"
"BASTOCK_USDT","0","0","False","2537823,0629","242,5","BASTOCK","USDT"
"H_USDT","0","0","False","2421706,84792","0,15079","H","USDT"
"ENA_USDC","0","0","False","2284376,503","0,1143","ENA","USDC"
"SILVER_USDC","0","0","False","1981248,3724","80,65","SILVER","USDC"
"LRCXSTOCK_USDT","0","0","False","1848202,6666","225,68","LRCXSTOCK","USDT"
"LIGHT_USDT","0","0","False","1758294,7718","0,2304","LIGHT","USDT"
"ACNSTOCK_USDT","0","0","False","1757283,74265","252,03","ACNSTOCK","USDT"
"STRK_USDT","0","0","False","1660280,32405","0,04629","STRK","USDT"
"LIT_USDT","0","0","False","1535643,8872","1,466","LIT","USDT"
"PENGUIN_USDT","0","0","False","1263687,5278","0,02285","PENGUIN","USDT"
"XAUT_USDC","0","0","False","1241958,2635","4995,9","XAUT","USDC"
"ROBINHOOD_USDT","0","0","False","945446,8097","79,4","ROBINHOOD","USDT"
"ORCLSTOCK_USDT","0","0","False","924095,941","160,54","ORCLSTOCK","USDT"
"MSTRSTOCK_USDT","0","0","False","791369,1674","133,14","MSTRSTOCK","USDT"
"XPT_USDT","0","0","False","689915,05703","2096,81","XPT","USDT"
"FOLKS_USDT","0","0","False","618101,338","1,478","FOLKS","USDT"
"TURBO_USDT","0","0","False","570487,34","0,001012","TURBO","USDT"
"PLTRSTOCK_USDT","0","0","False","446189,8649","139,36","PLTRSTOCK","USDT"
"CLANKER_USDT","0","0","False","429364,6806","32,74","CLANKER","USDT"
"INTCSTOCK_USDT","0","0","False","423750,5755","47,14","INTCSTOCK","USDT"
"AMZNSTOCK_USDT","0","0","False","407985,6441","207,14","AMZNSTOCK","USDT"
"MSFTSTOCK_USDT","0","0","False","396688,9471","414,27","MSFTSTOCK","USDT"
"SMCISTOCK_USDT","0","0","False","388338,782","33,26","SMCISTOCK","USDT"
"JNJSTOCK_USDT","0","0","False","376859,5079","238,77","JNJSTOCK","USDT"
"COPPER_USDT","0","0","False","375389,4764","5,939","COPPER","USDT"
"CLAWNCH_USDT","0","0","False","362304,2391","0,0001139","CLAWNCH","USDT"
"USOIL_USDT","0","0","False","340514,30762","64,119","USOIL","USDT"
"NVIDIA_USDT","0","0","False","305599,0043","188,36","NVIDIA","USDT"
"XPD_USDT","0","0","False","274091,29574","1714,18","XPD","USDT"
"AMATSTOCK_USDT","0","0","False","254885,463","327,96","AMATSTOCK","USDT"
"CRCLSTOCK_USDT","0","0","False","252111,6076","59,14","CRCLSTOCK","USDT"
"SOL_USD","0","0","False","249338,494476496","82,48","SOL","USD"
"MUSTOCK_USDT","0","0","False","205774,7543","374,12","MUSTOCK","USDT"
"RDDTSTOCK_USDT","0","0","False","198766,8539","149,64","RDDTSTOCK","USDT"
"IBMSTOCK_USDT","0","0","False","187929,5762","295,64","IBMSTOCK","USDT"
"COINBASE_USDT","0","0","False","180369,8813","160,36","COINBASE","USDT"
"AAPLSTOCK_USDT","0","0","False","176909,4844","274,64","AAPLSTOCK","USDT"
"CATSTOCK_USDT","0","0","False","162640,85022","744,21","CATSTOCK","USDT"
"MOLT_USDT","0","0","False","150818,1199","8,44E-05","MOLT","USDT"
"JPMSTOCK_USDT","0","0","False","150733,1243","320,34","JPMSTOCK","USDT"
"GOOGLSTOCK_USDT","0","0","False","145588,6164","320,1","GOOGLSTOCK","USDT"
"COSTSTOCK_USDT","0","0","False","140850,20422","974,5","COSTSTOCK","USDT"
"BCH_USDC","0","0","False","136698,8914","519,21","BCH","USDC"
"QQQSTOCK_USDT","0","0","False","134666,3895","612,91","QQQSTOCK","USDT"
"NFLXSTOCK_USDT","0","0","False","127815,23704","821,88","NFLXSTOCK","USDT"
"ARMSTOCK_USDT","0","0","False","126718,599","124,69","ARMSTOCK","USDT"
"METASTOCK_USDT","0","0","False","126544,18753","669,15","METASTOCK","USDT"
"BACSTOCK_USDT","0","0","False","126135,1099","55,38","BACSTOCK","USDT"
"ETHFI_USDC","0","0","False","125818,3788","0,4317","ETHFI","USDC"
"FIGSTOCK_USDT","0","0","False","117646,0729","24,19","FIGSTOCK","USDT"
"UNI_USDC","0","0","False","116976,1901","3,339","UNI","USDC"
"MRVLSTOCK_USDT","0","0","False","115542,235","81,99","MRVLSTOCK","USDT"
"H_USDC","0","0","False","114384,6669","0,15025","H","USDC"
"XOMSTOCK_USDT","0","0","False","114074,3523","151,66","XOMSTOCK","USDT"
"PEPSTOCK_USDT","0","0","False","111418,7757","168,7","PEPSTOCK","USDT"
"UNHSTOCK_USDT","0","0","False","110235,7772","272,53","UNHSTOCK","USDT"
"ASMLSTOCK_USDT","0","0","False","110217,7696","1423,75","ASMLSTOCK","USDT"
"UBERSTOCK_USDT","0","0","False","110169,307","73,57","UBERSTOCK","USDT"
"ICP_USDC","0","0","False","109902,27","2,365","ICP","USDC"
"BABASTOCK_USDT","0","0","False","109465,3519","166,54","BABASTOCK","USDT"
"CRMSTOCK_USDT","0","0","False","109389,8078","193,7","CRMSTOCK","USDT"
"JDSTOCK_USDT","0","0","False","107688,9875","28,41","JDSTOCK","USDT"
"NGAS_USDT","0","0","False","106341,7056","3,92","NGAS","USDT"
"AMDSTOCK_USDT","0","0","False","105995,9044","213,09","AMDSTOCK","USDT"
"LLYSTOCK_USDT","0","0","False","103539,09698","1033,5","LLYSTOCK","USDT"
"POL_USDC","0","0","False","103359,019","0,091","POL","USDC"
"STRK_USDC","0","0","False","103254,917","0,0463","STRK","USDC"
"MCDSTOCK_USDT","0","0","False","103249,6197","325,81","MCDSTOCK","USDT"
"QCOMSTOCK_USDT","0","0","False","103045,3873","140,63","QCOMSTOCK","USDT"
"GSSTOCK_USDT","0","0","False","102739,8564","952,08","GSSTOCK","USDT"
"CSCOSTOCK_USDT","0","0","False","102394,0851","87,26","CSCOSTOCK","USDT"
"AVGOSTOCK_USDT","0","0","False","102275,2798","342,41","AVGOSTOCK","USDT"
"GESTOCK_USDT","0","0","False","102030,49531","317,19","GESTOCK","USDT"
"MASTOCK_USDT","0","0","False","101377,45978","541,66","MASTOCK","USDT"
"WMTSTOCK_USDT","0","0","False","101222,0299","127","WMTSTOCK","USDT"
"NKESTOCK_USDT","0","0","False","100875,6992","63,42","NKESTOCK","USDT"
"VSTOCK_USDT","0","0","False","100811,0814","331,03","VSTOCK","USDT"
"ADBESTOCK_USDT","0","0","False","99869,1444","264,06","ADBESTOCK","USDT"
"FUTUSTOCK_USDT","0","0","False","99367,9987","160,02","FUTUSTOCK","USDT"
"NOWSTOCK_USDT","0","0","False","87551,1995","531,06","NOWSTOCK","USDT"
"UKOIL_USDT","0","0","False","84703,25531","69,088","UKOIL","USDT"
